67,,,,,ETHIOPIAN PHARMACEUTICAL SUPPLY SERVICE COMPREHENSIVE PHARMACEUTICAL PROCUREMENT CONTRACT MANAGEMENT FOLLOW UP SHEET,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,Contract Administration Team,,,,,,,,,,,,Bank and Insurance Team,,,,,Shipment Follow Up and Port Clearance Team,,,,,,,,,Current PG Status,,,Remark
S.N,Recevied date from TMD,Tender reference number,PO No,Supplier,Country of Origin,Local A.,Discription of the product,Unit,Qauntity,Unit Price,Total Price,Total PO Amount,Currency,Budget Source,PG Expiry Date,File Transferred to (BI) Date,BI Officer,LC Opening status,LC Opened Date,LC Expiry Date,Number of Days After LC Opened,Shipment Officer,Shipment Status,Current LC Status,Bill/Shipped date,Supply Status,Port Arrival Date,Date of Clearance to WH,Port Dwell Time,Order Closure,Remaining Days for PG Expiry,Status,Status Date,
644,9/8/2023,ICB/RPSA6/RDF-R/PH/13/22,7573,SCOTT EDIL PHARMACIA LTD,India,Kare Pharmaceuticals PLC,Ondansetrone 8mg - Tablet,10x3,"7,540",0.49,"3,694.600","3,694.60",USD,RDF,,,Mahider,,,,46226,,,LC Expired,,,,,0,,Please enter PG expiry date,,,
645,9/8/2023,ICB/EPSA6/RDF-R/PH/13/22,7569,SCOTT EDIL PHARMACIA LTD,India,Kare Pharmaceuticals PLC,Vitamin B Complex Preparation - Injection,10X10,"31,014",0.71,"22,019.940","269,388.19",USD,RDF,,,Mahider,,,,46226,,,LC Expired,,,,,0,,Please enter PG expiry date,,,
,,,,,,,"Anti-haemorrhoidel (Betamethasone Valerate +
 Phenylephrine HCI + Lidocaine HCI) - (0.5mg + 
1mg + 25mg) - intment",20gm,"1,809",86,"155,574.000",,,,,,,,,,,,,,,,,,,,,,,
647,9/8/2023,ICB/EPSA6/RDF-R/PH/13/22,7568/4500003165,SCOTT EDIL PHARMACIA LTD,India,Kare Pharmaceuticals PLC,Haloperidol - 5mg - Tablet,10X10,"31,014",0.71,"22,019.954","177,593.94",USD,RDF,,,Mahider,,,,46226,,,LC Expired,,,,,0,,Please enter PG expiry date,,,
,,,,,,,Thioridazine HCL - 100mg - Tablet,100X10,"1,089",86,"155,574.000",,,,,,,,,,,,,,,,,,,,,,,
649,9/8/2023,ICB/EPSA6/RDF-R/PH/13/22,7564,SCOTT EDIL PHARMACIA LTD,India,Kare Pharmaceuticals PLC,"Halperidol Deconate - 50mg/ml in 1ml 
Ampoule - Injection (Depot oily",5,"2,064",1.49,"3,075.360","71,121.31",USD,RDF,,,Mahider,,,,46226,,,LC Expired,,,,,0,,Please enter PG expiry date,,,
,,,,,,,Morphine Sulphate - 20mg/5ml  - Syrup,"15,155","15,155",4.49,"68,045.950",,,,,,,,,,,,,,,,,,,,,,,
651,9/8/2023,ICB/EPSA6/RDF-R/PH/13/22,7537,SCOTT EDIL PHARMACIA LTD,Inda,Kare Pharmaceuticals PLC,Griseofulvin - 250mg - Tablet,10x10,"42,259",3.23,"136,496.570","136,496.57",USD,RDF,,,Yordanos,,,,46226,,,LC Expired,,,,,0,,Please enter PG expiry date,,,
652,0908/2023,iCB/EPSA6/RDF-R/PH/13/22,7529,SCOTT EDIL PHARMACIA LTD,India,Kare Pharmaceuticals PLC,Allopurinol -100mg - Talet,10X5,"28,613",1.215,"34,764.800","59,549.00",USD,RDF,,,Mahider,,,,46226,,,LC Expired,,,,,0,,Please enter PG expiry date,,,
,,,,,,,propranolol - 40mg - Tablet,10x10,"55,076",0.45,"24,784.200",,,,,,,,,,,,,,,,,,,,,,,
654,9/8/2023,ICB/EPSA6/RDF-R/PH/13/22,7526,SCOTT EDIL PHARMACIA LTD,India,Kare Pharmaceuticals PLC,Naloxone HCL - 0.02mg/ml in 2ml Ampoule - Injection,Each,"31,130",0.79,"24,592.700","48,999.56",USD,RDF,,,Mahider,,,,46226,,,LC Expired,,,,,0,,Please enter PG expiry date,,,
,,,,,,,Imipramine - 25mg - Tablet,10x10,"38,436",0.635,"48,999.560",,,,,,,,,,,,,,,,,,,,,,,
656,9/8/2023,ICB/EPSA6/FDR-R/PH/13/22,7524,SCOTT EDIL PHARMACIA LTD,India,Kare Pharmaceuticals PLC,Metoclopramide - 0.2mg/drop - Drop,15 ml,"206,212",0.38,"78,360.560","103,756.00",USD,RDF,,,Mahider,,,,46226,,,LC Expired,,,,,0,,Please enter PG expiry date,,,
,,,,,,,Metoclopramide - 5mg/5ml - Syrup,60ml,"45,188",0.28,"12,652.640",,,,,,,,,,,,,,,,,,,,,,,
