,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,COMPREHENSIVE PHARMACEUTICAL PROCUREMENT CONTRACT MANAGEMENT FOLLOW UP SHEET,,,,,,,,,,,Performance Guarantee follow up & Status,,,,,,,,,,,,Bank and Insurance Team,,,,,Shipment Follow Up and Port Clearance Team,,,Remark,
S.N,Recevied date from TMD,Tender reference number,PO No,Supplier,Country of Origin,Local A.,Discription of the product,Unit,Qauntity,Unit Price,Total price,Total PO Amount,Currency,Budget Source,Mode of Shipment,PO Transferred to BIT/LT Date,PG Requested Date,PG received Date,PG Confirmed Date,Bank/Insurance Name,PG Reference ,PG Expiry Date,Remaining Days for PG Expiry,Submit PG,Status,Satus Date,PG Receiver name,BI Officer,LC Opening Status,LC Opened Date,LC Expiry Date,LC Age (Days),Shipment Officer,Shipment Status,Order Closure,,
12,7/21/2025,EPSA-ICB-G-0008-2017-BID,4500004783,Rise Global Gmbh,Germany,EMA constraction and trading PLC,Serology Proteus OC-19 Antigen 5mlof 5ml,VI,"10,732",1.4,"15,024.80","15,024.80",USD,RDF,Air,7/14/2025,7/21/2025,7/22/2025,7/25/2025,Birhan Bank,BrB/ATB/434/25,7/16/2026,-2,1,,,,Selamawit,Opened,8/18/2025,11/15/2025,334,Amanuel,Full Delivered,,,
13,7/21/2025,ICB/EPSS6/RDF-R/PH/27/23,4500006020,Orient INt. Holding shanghai rongheng,China,ZAF PharmaceuticalPLC,Tetracycline 1% Eye Ointment of 4gm,TU,"1,944,096",0.11,"213,850.56","213,850.56",USD,RDF,,6/11/2025,7/21/2025,7/22/2025,7/23/2025,Awash bank,AA00042124,7/21/2026,3,1,,,,Dejene,Opened,9/1/2025,11/29/2025,320,Semira,Full Delivered,,,
14,7/21/2025,ICB/EPSS6/SDG and RDF/MD/19/24,4500004560,"Shenzhen Lanmage Medical Techno.,Ltd",China,B W B Trading PLC,"X-Ray - Radiography, Digital",EA,10,"54,999.00","549,990.00","549,990.00",USD,SDG,,7/22/2025,7/22/2025,8/1/2025, NM,Awash bank,AA00043764,7/31/2026,13,10,,,,Gebresillassei,Opened,8/12/2025,11/9/2025,340,Abush,Full Delivered,,,
15,7/21/2025,EPSA-NCB-G-0073-2017(PT:30%70%),4500004474,Pharmacure PLC,Ethiopia,Pharmacure PLC,Dextrose - 10% Solution- Intravenous Infusion with IV |Set of 250ml,BAG,"336,300",123.19,"41,428,797.00","105,866,259.60",ETB,SDG-Local,Truck,8/4/2025,,7/11/2025,7/21/2025,Nyala Insurance S.C,NIC/CSCE/PBND/097238/25,5/16/2027,302,ENTER DATE,,,,No LC needed,,,,,Eyob,Cleared to WH,,,
,,,,,,,Dextrose 5% in Ringer lactate - of 250 ml,BAG,"114,000",124.91,"14,239,740.00",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Dextrose in Normal Saline - (10% in 0.3%) - Intravenous Infusion with IV Set of 250 ml,BAG,"304,380",123.17,"37,490,484.60",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Dextrose 5% in 0.9% Normal saline wiyh 20meq/l of KCL - of 500ml,SDG,"4,560",130,"592,800.00",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Dextrose in Normal Saline - (5% in 0.45%) - Intravenous Infusion with IV Set of 250 ml,SDG,"57,000",130,"7,410,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Hypertonic saline (Nacl 3%) - of 250 ml,SDG,"22,800",130,"2,964,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Sodium Chloride (Normal Saline) - 0.009 - Intravenous Infusion,SDG,"17,100",101.78,"1,740,438.00",,,,,,,,,,,,,,,,,,,,,,,,,,
