,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,COMPREHENSIVE PHARMACEUTICAL PROCUREMENT CONTRACT MANAGEMENT FOLLOW UP SHEET,,,,,,,,,,,Performance Guarantee follow up & Status,,,,,,,,,,,,Bank and Insurance Team,,,,,Shipment Follow Up and Port Clearance Team,,,Remark,
S.N,Recevied date from TMD,Tender reference number,PO No,Supplier,Country of Origin,Local A.,Discription of the product,Unit,Qauntity,Unit Price,Total price,Total PO Amount,Currency,Budget Source,Mode of Shipment,PO Transferred to BIT/LT Date,PG Requested Date,PG received Date,PG Confirmed Date,Bank/Insurance Name,PG Reference ,PG Expiry Date,Remaining Days for PG Expiry,Submit PG,Status,Satus Date,PG Receiver name,BI Officer,LC Opening Status,LC Opened Date,LC Expiry Date,LC Age (Days),Shipment Officer,Shipment Status,Order Closure,,
182,9/24/2025,ICB/Framework/EPSS6/RDF-R/PH/06/23,4500006561,Rise GLOBAL GMBH,Germany,EMA construction and trading plc,Folinic Acid - 50mg/5ml in 5ml Ampoule - Injection,EA,"12,698",2.25,"28,570.50","28,570.50",USD,RDF,Air,9/25/2025,9/25/2025,10/1/2025,10/3/2025,Berhan Bank,BrB/ATB/618/25,9/25/2026,210,6,Released,2/27/2026,Israel,Dejene,Opened,10/9/2025,1/6/2026,282,Tesfaye,Fully deliverd,,,
183,9/24/2025,EPSA-ICB-G-0012-2017-BID,4500006542,Rise GLOBAL GMBH,Germany,EMA construction and trading plc,Tropicamide 1% drops (mydriatic) of 10ml,BT,"48,268",1.4,"67,575.20","67,575.20",USD,RDF,Air,9/25/2025,9/25/2025,10/1/2025,9/25/2026,Berhan Bank,BrB/ATB/618/25,9/25/2026,210,6,Released,2/27/2026,Israel,Selamawit,Opened,10/9/2025,1/6/2026,282,Sagni,Fully deliverd,,,
184,9/24/2025,EPSA-ICB-G-0012-2017-BID,4500006807,Rise GLOBAL GMBH,Germany,EMA construction and trading plc,Lidocaine HCL + Adrenaline - (2%+1:200000IU) in 20ml vial - Injection of 25,PAC,"21,540",3.35,"72,159.00","72,159.00",USD,RDF,Air,9/25/2025,9/25/2025,10/1/2025,10/3/2025,Berhan Bank,BrB/ATB/614625,9/25/2026,99,6,Released,6/18/2026,Israel Terefe,Gebresillassei,Opened,10/9/2025,1/6/2026,282,Sena,Full delivered,,,
185,9/24/2025,EPSA-ICB-G-0012-2017-BID,4500006830,Rise GLOBAL GMBH,Germany,EMA construction and trading plc,Ketamine HCL - 50 mg/ml - Injection of 10ml,AM,"194,250",0.44,"85,470.00","85,470.00",USD,RDF,Air,9/25/2025,9/25/2025,10/1/2025,10/3/2025,Berhan Bank,BrB/ATB/615/25,9/25/2026,210,0,Released,2/27/2026,Israel,Gebresillassei,Opened,10/10/2025,1/7/2026,281,Sagni,Fully deliverd,,,
186,9/24/2025,EPSA-ICB-G-0012-2017-BID,4500006720,Rise GLOBAL GMBH,Germany,EMA construction and trading plc,"Fluphenazine Decanoate - 25 mg/ml in 2ml Ampoule - Injection (Depot,oily) of 10",PAC,"14,069",3.08,"43,332.52","43,332.52",USD,RDF,Air,10/24/2025,9/25/2025,9/25/2025,10/3/2025,Berhan Bank,BrB/ATB/614/25,9/25/2026,69,6,,,,Dejene,Opened,10/9/2025,1/6/2026,282,Tesfaye,,Closed without shipment,GMP Suspended-Swiss,
187,9/24/2025,EPSA-ICB-G-0012-2017-BID,4500006418,Rise GLOBAL GMBH,Germany,EMA construction and trading plc,Calcium gluconate - 10% in  10ml Ampoule - Injection of 10,PAC,"97,909",1.02,"99,867.18","99,867.18",USD,RDF,Air,9/25/2025,9/25/2025,10/1/2025,10/3/2025,Berhan Bank,BrB/ATB/612/25,9/25/2026,69,43,,,,Selamawit,Opened,10/10/2025,1/7/2026,281,Tesfaye,,Closed without shipment,GMP Suspended-Swiss,
188,9/24/2025,EPSA-ICB-G-0016-2017-BID,4500004098,Tenama International FZ-LLC,utd Arab Emir,Life Care Pharmaceuticals Trading,Cryptococcus lateral flow assay rapid of 40 tests,PAC,"2,099",108,"226,692.00","226,692.00",USD,GF-HIV,Air,9/25/2025,9/25/2025,11/7/2025,11/10/2025,Awash Bank,AA00038126,11/3/2026,108,35,,,,Mulugeta,Opened,11/20/2025,2/17/2026,240,Amanuel,Fully deliverd,,,
189,9/24/2025,EPSA-ICB-G-0078-2017-(HIV-PO),4500004192,Hexagon Nutrition (International) PVT ,China,Leyan pharmaceuticals,"RUTF Plumpy Nut, Ready to Use Theurapeutic Food (RUTF) - paste of 150 sachet",PAC,"15,170",34.89,"529,281.30","529,281.30",USD,MOF-NUT,Air,9/25/2025,9/25/2025,10/30/2025,10/30/2025,Awash Bank,AA 00044912,10/16/2026,90,35,,,,Mulugeta,Opened,11/20/2025,2/17/2026,240,Hirkisa,Fully deliverd,,,
190,9/24/2025,EPSA-ICB-G-0078-2017-(TB-PO),4500004075,Hexagon Nutrition (International) PVT ,China,Leyan pharmaceuticals,"RUTF Plumpy Nut, Ready to Use Theurapeutic Food (RUTF) - paste of 150 sachet",PAC,"16,119",34.89,"562,391.91","562,391.91",USD,MOF-NUT,Air,9/25/2025,9/25/2025,10/30/2025,10/30/2025,Awash Bank,AA00044907,10/16/2026,90,32,,,,Mulugeta,Opened,11/20/2025,2/17/2026,240,Efa,Fully deliverd,,,
191,9/24/2025,ICB/EPSA6/RDF-R/PH/13/22,4500006451,SCOTT Edil pharmacia Ltd,India,SCOTT Edil pharmacia Ltd,ALLO Allopurinol - 100mg # Tablet of 10x5,PAC,"21,096",12.15,"256,316.40","256,316.40",USD,RDF,Air,9/25/2025,9/25/2025,10/27/2025,10/27/2025,Awash Bank,AA00044903,10/17/2026,91,32,,,,Mahider,Opened,11/1/2025,1/29/2026,259,Sena,Fully deliverd,,,
192,9/24/2025,EPSA-ICB-G-0078-(TB-PO),4500004082,Tenama International FZ-LLC,utd Arab Emir,Life Care Pharmaceuticals Trading,"Plumpy Nut, Ready to Use Supplementary Food (RUSF)-PASTE OF 150 Sachet",PAC,"7,340",34.52,"253,376.80","253,376.80",USD,MOF-NUT,Air,9/30/2025,9/30/2025,12/5/2025,12/5/2025,Awash Bank,AB/IFB/CRM&OP/0872/25,12/3/2026,157,66,Released,6/29/2026,Jibril Ali,Mulugeta,Opened,12/26/2025,3/25/2026,204,Semira,Fully deliverd,,,
193,9/24/2025,EPSA-NCB-0038-2017-BID,4500006552,Afrovision pharmaceuticals,Ethiopia,Afrovision pharmaceuticals,Chemical Glycerine Pure - 98% of 1L,BT,"1,326",497,"659,022.00","659,022.00",ETB,RDF,Truck,9/25/2025,,9/26/2025,9/26/2025,Nib insurance company s.c,P/036/59/02/2025/08/00067,8/21/2026,34,ENTER DATE,,,,,,,,"46,221",Hirkisa,Fully deliverd,,,
194,9/29/2025,EPSA-NCB-G-0037-2017-BID,4500003619,Humanwell pharmaceutical Ethiopia plc,Ethiopia,Humanwell pharmaceutical Ethiopia plc,Dextrose - 40% in 20ml - Intravenos Infusion of 50,PAC,"139,906,000",958,"134,029,948,000.00","194,602,370.64",ETB,RDF,Truck,9/25/2025,2/21/2026,4/2/2026,4/7/2025,bUNNA iNSURANCE S.C,BIC/AK/PRB/0515/03/25,9/28/2026,72,ENTER DATE,,,,,,,,"46,221",Eyob,,,,
,,,,,,,Metoclopramide - 5mg/ml in 2ml Ampoule - Injection of 10,PAC,"295,178",76,"22,433,528.00",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Tramadol HCI - 50mg/ml in 2ml Ampoule - Injection of 10,PAC,"273,410",122,"33,356,020.00",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Benzhexol (Trihexyphenidyl HCL) - 2mg  - Tablet of 10x10,PAC,"10,480",175,"1,834,000.00",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Benzhexol (Trihexyphenidyl HCL) - 5mg  - Tablet of 10x10,PAC,"12,146",225,"2,732,850.00",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Diazepam - 5mg/ml in 2ml ampoule - Injection of 10,PAC,"51,929",416,"21,602,464.00",,,,,,,,,,,,,,,,,,,,,,,,,,
195,9/29/2025,EPSA-NCB-G-0037-2017-BID,4500004019,Humanwell pharmaceutical Ethiopia plc,Ethiopia,Humanwell pharmaceutical Ethiopia plc,Gentamycin - ,PAC,"52,640",70,"3,684,800.00","139,846,000.00",ETB,RDF,Truck,9/25/2025,,4/15/2025,4/17/2025,BUNNA INSURANCE S.C,BIC/AK/PRB/0519/04/25,4/11/2026,-98,ENTER DATE,,,,,,,,"46,221",Eyob,EFDA hold the production line,,Diclofenac Injection not delivered due to EFDA hold injection lines,
,,,,,,,Diclofenac Sodium - 25mg/ml in 3ml ampoule - njection of 10x10,PAC,"194,516",700,"136,161,200.00",,,,,,,,,,,,,,,,,,,,,,,,,,
196,9/29/2025,EPSA-NCB-G-0037-2017-BID,4500003625,Humanwell pharmaceutical Ethiopia plc,Ethiopia,Humanwell pharmaceutical Ethiopia plc,Dextrose - 40% in 20ml - Intravenos Infusion of 50,PAC,"139,906",958,"134,029,948.00","134,029,948.00",ETB,RDF,Truck,9/25/2025,2/21/2026,4/12/2026,4/16/2025,BUNNA INSURANCE S.C,BIC/AK/PRB/0521/04/26,10/8/2026,82,ENTER DATE,,,,,,,,"46,221",Eyob,,,,
,,,,,,,Tramadol HCI - 50mg/ml in 2ml Ampoule - Injection of 10,PAC,"273,410",122,"33,356,020.00","33,356,020.00",,,,,,,,,,,,,,,,,,,,,,,,,
197,10/1/2025,ICB/EPSS/SDG and RDF/MD/19/24,4500004526,"Samed FZE SPC,",Utd.Arab.Emir,Robans Trading plc,Sterilizer Instrument - Hot Air 53L,EA,42,"4,350.00","182,700.00","182,700.00",USD,RDF,Sea,10/2/2025,10/2/2025,10/9/2025,10/10/2025,Berhan Bank S.C,BRIB/MK/999/25,10/11/2026,85,7,,,,Mulugeta,Opened,10/24/2025,1/21/2026,267,Adisu,Fully deliverd,,,
198,9/30/2025,EPSA-ICB-G-0012-2017-BID,4500006521,Brawn Laboratories Ltd,Delhi India,MEDTECH ETHIOPIA PLC,Vitamin B1 + Vitamin B6 + Vitamin B12 - (100mg +  100mg + 1000mcg) - Injection of 3 vial,PAC,"213,015",1.95,"415,379.25","415,379.25",USD,RDF,Air,10/2/2025,10/2/2025,10/21/2025,10/21/2025,Awash Bank,AA 00044442,11/13/2027,483,19,,,,Gebresillassei,Opened,10/24/2025,1/21/2026,267,Sena,Fully deliverd,,,
199,10/1/2025,ICB/EPSS6/SDG and RDF/MD/19/24,4500004557,"Samed FZE SPC,",Delhi India,MEDTECH ETHIOPIA PLC,Sterilizer Instrument - Hot Air 32L,EA,50,"3,425.00","171,250.00","171,250.00",USD,SDG-ME,Sea,10/2/2025,10/2/2025,10/9/2025,10/10/2025,Berhan Bank S.C,BRIB/MK/999/25,10/11/2026,85,7,,,,Mulugeta,Opened,10/25/2025,1/22/2026,266,Nebiyu,Fully deliverd,,,
200,10/1/2025,ICB/EPSS6/RDF/PH/27/23,4500006501,"Cspc Ouyi pharmaceutical Co.,Ltd",China,Life care pharmaceuticals trading,MERO Meropenem - 1gm in vial - powder for intravenous injection with 10ml diluent,VI,"62,398",1.8,"112,316.40","112,316.40",USD,RDF,Air,10/2/2025,10/2/2025,10/30/2025,10/31/2025,CBE,MD2528953052,10/17/2026,91,28,,,,Gebresillassei,Opened,11/7/2025,2/4/2026,253,Tesfaye,Fully deliverd,,,
201,10/1/2025,EPSA-ICB-G-0061-2017-BID(FW),4500004625,Tenama International FZ-LLC,Utd.Arab.Emir,Life Care Pharmaceuticals Trading,Medroxyprogesterone Acetate - 150mg/ml in vial - Injection (Aqueous suspension),VI,"5,130,068",5.68,"29,138,786.24","2,913,878.62",USD,MOF-HP,Sea,10/2/2025,10/2/2025,1/13/2026,1/14/2026,Buna international bank,30629,12/19/2026,154,103,,,,Mulugeta,Opened,2/3/2026,4/2/2026,165,Hirkisa,,,,
,,,,,,,"SYDI Disposable Syringe - 3 parts, 3ml with 21G needle of 1",EA,"5,130.068.000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,10/1/2025,ICB/EPSS6/RDF-R/PH/27/23,4500006385,Scott Edil pharmacia,India,Kare pharmaceuticals plc,AMIN Aminophyline - 250mg/10ml in 10ml Ampoule - Injection of 5,PAC,"30,240",0.55,"16,632.00","16,632.00",USD,RDF,Air,10/2/2025,10/2/2025,10/27/2025,10/27/2025,Awash Bank,AA00044902,10/17/2026,91,33,,,,Gebresillassei,Opened,,,"46,221",,Fully deliverd,,,
203,10/1/2025,EPSA-ICBG-008-2017-BID(GF),4500006836,Care pharma FZ LLC,Utd.Arab Emir,Life care pharmaceutical trading,Laboratory Supplies - Microscope slides size 27x75 mm thickness 1.2mm frosted of 50 Slides,PAC,"72,893",0.66,"48,109.38","48,109.38",USD,GF-TB,Sea,10/2/2025,10/2/2025,11/4/2025,11/5/2025,Awash Bank,IFB/CRM&OP/0750/25,11/3/2026,127,6,Released,6/29/2026,Jibril Ali,Mulugeta,Opened,12/26/2025,3/25/2026,204,Yoseph,Fully deliverd,,,
204,10/1/2025,ICB/EPSS6/SDG and RDF/MD/19/24,4500004563,Topcon Europe Medical BV,Netherlands,HBL Medical Equipment importer plc,Tonometer - Non portable,EA,14,"4,315.00","60,410.00","60,410.00",EUR,SDG-ME,Air,10/2/2025,10/2/2025,10/8/2025,10/10/2025,Berhan Bank,BrB/ANB/0052/25,10/7/2026,111,36,Released,6/18/2026,Estifanose Aweke,Gebresillassei,Opened,11/20/2025,2/17/2026,240,Adisu,Fully deliverd,,,
205,10/1/2025,EPSA-ICB-G-0056-2017-BID,4500005862,Tenama International FZ-LLC,Utd.Arab Emir,Life Care pharmaceutical Trading,Cyclophosphamide 50 mg capsule of 10x10,PAC,864,75,"64,800.00","64,800.00",USD,RDF,Air,10/3/2025,10/2/2025,11/7/2025,11/10/2025,Awash Bank,AA00038127,11/3/2026,108,26,,,,Gebresillassei,Opened,11/13/2025,2/10/2026,247,Tesfaye,Cleared to warehouse,,The supplier changed blister to bottle for Cychlophosphamide ,
,,,,,,,Chlorambucil - 2mg - Tablet of 25,PAC,"1,912",10,"19,120.00","19,120.00",,,,,,,,,,,,,,,,,,,,,,,,,
206,10/2/2025,EPSA-ICB-G-0014-2017-BID/Framework,PO-4500007249,Gst Corporation Ltd,New Delhi India,ZAF Pharmaceuiticals pvt ltd C.o,ENTU Endotracheal Tube Sterile Cuffed - 5CH,EA,"22,197",2.86,"63,483.42","66,713.44",USD,RDF,Air,10/2/2025,10/2/2025,10/28/2025,10/29/2025,CBE,MD2529512898,10/8/2026,82,26,,,,Gebresillassei,Opened,11/1/2025,1/29/2026,259,Amanuel,Fully deliverd,,,
,,,,,,,ENTU Endotracheal Tube Sterile Cuffed - 4CH,EA,"14,237",2.86,"40,717.82",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,ENTU Endotracheal Tube Sterile Cuffed -7CH,EA,"34,020",2.86,"97,297.20",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,NAGT Naso Gastric Sterile Infant - 6CH,EA,"200,287",0.04,"8,011.48",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,SPNE - Spinal Needle 8cm-23G,EA,"125,115",0.18,"22,520.70",,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,SPNE Spinal Needle 8cm-24G,EA,"89,561",1.79,"160,314.19",,,,,,,,,,,,,,,,,,,,,,,,,,
207,10/7/2025,EPSA-ICB-G-0061-2017-BID(FW),4500004665,Ida Foundation,Netherlands,Life care Pharmaceutical Trading,Etonogestrel 68mg Capsule (Subdermal Implant) with full insertion accessory kit of 20,PAC,"7,969",226.9,"1,808,166.10","1,808,166.10",USD,MOH-FH,Sea,10/9/2025,10/9/2025,12/3/2025,12/4/2025,Zemen Bank,ZB/TS/PG/027/25,10/13/2026,87,55,,,,Mulugeta,Opened,12/17/2025,3/16/2026,213,Hirkisa,,,,
,,,,,,,POVI Chemical - povidone lodine - 10% - - Solution of 500ml,BT,"7,969",0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,COAB Cotton Absorbent Wool - 500mg,ROL,"7,969",0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,GLSU Glove Surgical Latex powder - Free Sterile - No.7.5 of 20 Pairs,PAC,"7,969",0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"SYDI Syringe (Disposable) - (sterile) 3 parts, 5ml ?Luer fitting with 23G Needle of 20pcs",PAC,"7,969",0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"ADWP Adhesive Wound Plaster - 19mm x 72mm, water proof pack of 20",PAC,"7,969",0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,SUSB Surgical Scalpel Blade-No 10 of 20,PAC,"7,969",0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,ADPL Adhesive Plaster Zinc Oxide-2.5cm x 5cm,EA,"7,969",0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,LIDO Lidocaine HCL-1% in 20ml  vial-injection of 3,PAC,"7,969",0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,GAAC Gauze Absorbent Cotton-8cm x4m of 4,EA,"7,969",0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
208,10/7/2025,ICB/EPSS/SDG and RDF/MD/19/24,4500004533 / 4500004541,"Heyer Medical Co.,Ltd",China,WMG Biomedical Engineering PLC,"Tablet - Operating, Manual",EA,42,"2,688.00","112,896.00","112,896.00",USD,MOF-ME,Sea,10/10/2025,10/6/2025,10/6/2025,10/7/2025,bank nf Oromia,CBO/VP/GO/144,9/30/2026,74,0,,,,Mulugeta,Opened,11/10/2025,1/7/2026,250,Nebiyu,,,,
209,10/7/2025,EPSA-ICB-G-0012-2017-BID,4500007106,Neon Laboratory Ltd.,India,Micro pharma Private Limited,AMIN  Aminophylline-250mg/10ml in 10ml Ampoule-Injection of 5,PAC,"36,638",1.35,"49,461.30","49,461.30",EUR,RDF,Air,,10/9/2025,10/13/2025,10/14/2025,Hibret Bank,HB/DIED/1095/25,9/29/2026,73,4,,,,Selamawit,Opened,10/21/2025,1/17/2026,270,Sena,Fully deliverd,,,
210,10/7/2025,EPSA-ICB-G-0061-2017-BID(FW),4500004659,Ida Foundation,Netherlands,Life Care Pharmaceutical Trading,Etonogestrel 68mg Capsule (subdermal implant)with full insertion accessory kit of 20,PAC,"11,061",226.9,"2,509,740.90","2,509,740.90",USD,SDG-FH,Sea,10/9/2025,10/9/2025,12/3/2025,12/4/2025,Zemen ank,ZB/TS/PG/026/25,10/13/2026,87,55,,,,Mulugeta,Opened,12/17/2025,3/16/2026,213,Hirkisa,,,Hold at Hormuz Straight,
,,,,,,,Chemical - povidone lodine - 10% - - Solution of 500ml,BT,"11,061",0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Glove Surgical Latex powder - Free Sterile - No.7.5 of 20 Pairs,PAC,"11,061",0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Syringe (Disposable) - (sterile) 3 parts, 5ml ?Luer fitting with 23G Needle of 20pcs",PAC,"11,061",0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,"Adhesive Wound Plaster - 19mm x 72mm, water proof pack of 20",PAC,"11,061",0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Surgical Scalpel Blade-No 10 of 20,PAC,"11,061",0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Adhesive Plaster Zinc Oxide-2.5cm x 5cm,EA,"11,061",0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Lidocaine HCL-1% in 20ml vial-injection of 3,PAC,"11,061",0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,Gauze Absorbent Cotton-8cm x4m of 4,,"11,061",0,0.00,,,,,,,,,,,,,,,,,,,,,,,,,,
211,10/7/2025,EPSA-ICB-G-0017-BID,4500006387,FDC,India,Elips pharmaceuticals Import PLC,Sodium Cromoglycate - 2% - solution Eye drop of 10 ml,RT,"24,200",0.5,"12,100.00","12,100.00",USD,RDF,Air,8/10/2025,9/19/2025,9/19/2025,9/21/2025,Buna Bank,2005.PB.0052,9/21/2026,65,0,,,,Yordanos,Opened,10/21/2025,1/17/2026,270,Tesfaye,1428 USD remain,,,
212,10/7/2025,ICB/PFSA6/RDF/FW/PLACEMNET/LR/20/18,4500006763,Beckman coulter,Switzerland,Delta,cobas 6000,PAC,8,"9,845.16","78,761.28","203,228.84",USD,RDF,Air,10/9/2025,10/9/2025,11/17/2025,11/19/2025,CBE,MD2531857801,11/30/2026,135,39,,,,Mulugeta,Opened,12/1/2025,2/28/2026,229,Amanuel,1403.31USD remain,,,
213,10/7/2025,EPSA-ICB-G-0012-2017-BID,4500007100,Ciron Drugs And pharmaceuticals pvt Ltd,India,Getmaz General Business PLC,Timolol Maleate - 0.5% - Eye Drop of 5 ml,BT,"105,804",1.25,"132,255.00","132,255.00",USD,RDF,Sea,10/7/2025,10/9/2025,11/6/2025,11/7/2025,CBE,MD2530003737,4/9/2027,265,28,,,,Dejene,Opened,11/18/2025,1/15/2026,242,Samuel ,Fully deliverd,,,
,,,,,,,Latanoprost 0.0005% eye drop of 5ml,BT,"23,148",1.44,"33,333.12","33,333.12",,,,,,,,,,,,,,,,,,,,,,,,,
214,10/7/2025,EPSA-ICB-G-0012-2017-BID,4500007108,Ciron Drugs And Pharmaceuticals Pvt Ltd,India,Getmaz General Buziness Plc,Ciprofloxacin - 0.30% - Eye/Ear drop of 5ml,BT,"255,542",0.114,"29,131.79","29,131.79",USD,RDF,Sea,10/7/2025,10/9/2025,11/6/2025,11/7/2025,CBE,MD2530008343,4/9/2027,265,28,,,,Dejene,Opened,11/18/2025,1/15/2026,242,Samuel ,Fully deliverd,Closed,,
215,10/7/2025,EPSA-ICB-G-0012-2017-BID,4500007099,Ciron Drugs And Pharmaceuticals Pvt Ltd,India,Getmaz General Buziness Plc,KETA Ketamine HCL - 50 mg/ml - Injection of 10ml,Vial,"48,565",0.44,"21,368.60","21,368.60",USD,RDF,Air,10/7/2025,10/9/2025,11/6/2025,11/7/2025,CBE,MD2530010805,4/9/2027,265,28,,,,Dejene,Opened,11/24/2025,2/21/2026,236,Sagni,Fully deliverd,,,
,,,,,,,THIO Thiopental Sodium-0.5g-powder for injection of 50,PAC,"14,571",24.1,"351,161.10","351,161.10",,,,,,,,,,,,,,,,,,,,,,,,,
216,10/9/2025,EPSA-ICB-G-0012-2017-BID,4500006522,Brawn Laboratories Ltd,India,MEDTECH ETHIOPIA PLC,THPC Vitamin B1 + Vitamin B6 Vitamin B12 - (100mg + 200mg + 1000mcg) - Tablet of 10x10,PAC,"51,196",2.89,"147,956.44","147,956.44",USD,RDF,Sea,10/10/2025,10/10/2025,11/6/2025,11/7/2025,Awash Bank,AA00044925,11/23/2026,128,27,,,,Yordanos,Opened,10/23/2025,1/20/2026,268,Semira,,,,
217,10/9/2025,EPSA-ICB-G-0014-2017-BID,4500007250,Healthium Medtech pvt.Ltd,Bengaluru India,Medilab Medical Equipment Supplies Import,PGAR Polyglycolic acid absorbable braided violet - Gauge 0.4(8/0) 45cm on 8mm 1/2 Circle Round Bodied Needle of 12 pieces,DZ,"1,840",4.73,"8,703.20","271,598.93",USD,RDF,Air,10/10/2025,10/10/2025,11/20/2025,11/21/2025,Awash Bank,AA 00044937,10/21/2026,95,41,,,,Selamawit,Opened,12/3/2025,3/3/2026,227,Amanuel,338.56 usd remain,,,
,,,,,,,PGAR Polyglycolic acid absorbable braided violet - Gauge 0.7(6/0) 30cm on 8mm 12mm 1/2 Circle Round Bodied Needle of 12 pieces,DZ,"4,259",3.31,"14,097.29","14,097.29",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,PGAC Polyglycolic Acid Absorbable Braided Violet - Gauge 3.0 (2/0) 75 cm on 27 mm 1/2 Circle Cutting Needle of 12 pieces ,DZ,"10,990",3.26,"35,827.40","35,827.40",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,PGAR Polyglycolic Acid Absorbable Braided Violet - Gauge 3.0(2/0) 75 cm on 27 mm 1/2 Circle Round Bound Bodied Needle of pieces,DZ,"12,474",3.19,"39,792.06","39,792.06",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,PGAR Polyglycolic Acid Absorbable Braided Violet-Gauge 3.5(0) 75 cm on 48 mm 1/2 Round Bodied Needle of 12 pieces,DZ,"7,561",3.31,"25,026.91","25,026.91",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,PGAR Polyglycolic Acid Absorbable Braided Violet-Gauge 4.0(1) 75 cm on 45 mm 1/2 Circle Round Bodied Needle of 12 pieces,DZ,"7,428",3.28,"24,363.84","24,363.84",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,PGAR Polyglycolic acid absorbable braided violet - Gauge 5.0(2) 75 cm on 40 mm 1/2 circle Round Bodied Needle of Dozen,DZ,"27,355",3.31,"90,545.05","90,545.05",,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,PGAR Polyglycolic Acid Absorbable Braided Violet - Gauge 2.0(3/0) 75cm on 26mm 1/2 Circle Round Bodied Needle of 12 pieces,DZ,"10,587",3.14,"33,243.18","33,243.18",,,,,,,,,,,,,,,,,,,,,,,,,
218,10/9/2025,EPSA-ICB-0014-2017-BID,PO-4500007341,La-Med Healthcare Pvt.Ltd,Haryana India,"Leyan pharmaceuticals ,Abebayehu Cherinet Tadesse",DRCT Drainage Chest - 18FG,EA,"12,203",0.37,"4,515.11","10,589.03",USD,RDF,Air,10/10/2025,10/15/2025,10/30/2025,11/3/2025,Fisseha ,MIS/TK/0128/2025,10/30/2026,135,15,Released,6/17/2026,Fisseha ,Selamawit,Opened,11/10/2025,1/7/2026,250,Amanuel,Fully deliverd,,,
,,,,,,,DRCT Drainage Chest -  32FG,EA,"16,416",0.37,"6,073.92",,,,,,,,,,,,,,,,,,,,,,,,,,
219,10/13/2025,EPSA/NCB/G?0019/2017/BID,4500006665,Cadila Pharmaceuticals ,Ethiopia,cadila pharmaceutical,ATEN   Atenolol- 50mg -Tablet of 10x10,PAC,"21,222",97,2058534,2058534,ETB,RDF,Truck,12/2/2025,12/2/2025,45937,10/10/2025,Nyala Insurance S.C,PPL/CKY/PBND/223199/25,10/6/2026,265,228,Released,1/14/2026,Desta Ummer,,,,,"46,221",Eyob,Fully deliverd,,,
220,10/13/2025,EPSA-ICB-G-0014-2017-BID,4500007329,Rise Global GMBH,Germany,EMA construction and trading plc,colostomy Bag Adhesive Regulator Closed 25cm*14cm 30mm Opening Adult Opec Medium,EA,"63,413",0.31,19658.03,"27,553.63",USD,RDF,Air,10/14/2025,10/15/2025,10/16/2025,10/17/2025,Berhan Bank,BrB/ATB/637/25,10/10/2026,84,1,,,,Selamawit,,,,"46,221",,,,"7000 USD Remaining, PG Should be Confiscated",
,,,,,,,Endotracheal Tube Sterile Cuffed -CH,EA,"29,607",0.286,8467.602,,,,,,,,,,,,,,,,,,,,,,,,,,
